,precision,recall,f1-score,support
anger,0.0,0.0,0.0,520.0
disgust,0.0,0.0,0.0,1642.0
fear,0.0,0.0,0.0,282.0
joy,0.0,0.0,0.0,554.0
sadness,0.10117939168218498,0.7616822429906542,0.17863013698630137,428.0
surprise,0.08914728682170543,0.1464968152866242,0.1108433734939759,314.0
accuracy,0.09946524064171124,0.09946524064171124,0.09946524064171124,0.09946524064171124
macro avg,0.03172111308398173,0.1513631763795464,0.048245585080046206,3740.0
weighted avg,0.019063376390906602,0.09946524064171124,0.029748266820119097,3740.0
