,precision,recall,f1-score,support
anger,0.13043478260869565,0.011538461538461539,0.02120141342756184,520.0
disgust,0.0,0.0,0.0,1642.0
fear,0.0,0.0,0.0,282.0
joy,1.0,0.0036101083032490976,0.007194244604316547,554.0
sadness,0.11454940282301845,0.985981308411215,0.20525291828793774,428.0
surprise,0.25,0.006369426751592357,0.012422360248447204,314.0
accuracy,0.11550802139037433,0.11550802139037433,0.11550802139037433,0.11550802139037433
macro avg,0.2491640309052857,0.16791655083408633,0.04101182276137722,3740.0
weighted avg,0.2003618265681213,0.11550802139037433,0.028545245090474142,3740.0
