,precision,recall,f1-score,support
anger,0.0,0.0,0.0,1349.0
disgust,0.028469750889679714,0.17391304347826086,0.04892966360856269,46.0
fear,0.0,0.0,0.0,53.0
joy,0.0,0.0,0.0,121.0
sadness,0.18014916810097534,0.8770949720670391,0.2989052831984769,358.0
surprise,0.0,0.0,0.0,120.0
accuracy,0.15730337078651685,0.15730337078651685,0.15730337078651685,0.15730337078651685
macro avg,0.03476981983177584,0.17516800259088336,0.05797249113450661,2047.0
weighted avg,0.03214607265318732,0.15730337078651685,0.05337511280461584,2047.0
